Date:  17:02, ÐÇÆÚ¶þ, ¾ÅÔÂ 22, 2020
Model name:u_cylinder_shell
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (m)  ,Y (m)  ,Z (m)
385  ,147.025     ,11.33387852  ,-3.66480136  ,11.29919624
386  ,146.937     ,10.67722797  ,-3.84075022  ,11.29919624
387  ,146.955     ,10.00000000  ,-3.90000010  ,11.29919624
388  ,147.094     ,9.32277203  ,-3.84075022  ,11.29919624
389  ,147.365     ,8.66612148  ,-3.66480136  ,11.29919624
390  ,147.786     ,8.05000019  ,-3.37749934  ,11.29919624
391  ,148.365     ,7.49312735  ,-2.98757243  ,11.29919624
392  ,149.116     ,7.01242590  ,-2.50687075  ,11.29919624
393  ,150.051     ,6.62250042  ,-1.94999909  ,11.29919624
394  ,151.174     ,6.33519840  ,-1.33387768  ,11.29919624
395  ,152.491     ,6.15924978  ,-0.67722708  ,11.29919624
396  ,148.408     ,11.33387852  ,-3.66480136  ,11.96385479
397  ,148.373     ,10.67722797  ,-3.84075022  ,11.96385479
398  ,148.449     ,10.00000000  ,-3.90000010  ,11.96385479
399  ,148.646     ,9.32277203  ,-3.84075022  ,11.96385479
400  ,148.978     ,8.66612148  ,-3.66480136  ,11.96385479
401  ,149.459     ,8.05000019  ,-3.37749934  ,11.96385479
402  ,150.103     ,7.49312735  ,-2.98757243  ,11.96385479
